Date,Symbol,Order,Shares
2008-01-31 00:00:00,IBM,BUY,100
2008-02-05 00:00:00,IBM,SELL,100
2008-02-13 00:00:00,IBM,BUY,100
2008-02-14 00:00:00,IBM,SELL,100
2008-02-20 00:00:00,IBM,BUY,100
2008-05-28 00:00:00,IBM,SELL,100
2008-06-06 00:00:00,IBM,SELL,100
2008-06-16 00:00:00,IBM,BUY,100
2008-07-10 00:00:00,IBM,BUY,100
2008-07-14 00:00:00,IBM,SELL,100
2008-08-04 00:00:00,IBM,SELL,100
2008-08-05 00:00:00,IBM,BUY,100
2008-08-14 00:00:00,IBM,BUY,100
2008-08-18 00:00:00,IBM,SELL,100
2008-10-01 00:00:00,IBM,SELL,100
2008-10-10 00:00:00,IBM,BUY,100
2008-11-24 00:00:00,IBM,BUY,100
2008-12-01 00:00:00,IBM,SELL,100
2009-01-14 00:00:00,IBM,SELL,100
2009-01-15 00:00:00,IBM,BUY,100
2009-01-21 00:00:00,IBM,BUY,100
2009-01-22 00:00:00,IBM,SELL,100
2009-02-19 00:00:00,IBM,SELL,100
2009-02-27 00:00:00,IBM,BUY,100
2009-03-13 00:00:00,IBM,BUY,100
2009-06-01 00:00:00,IBM,SELL,100
2009-06-02 00:00:00,IBM,SELL,100
2009-06-09 00:00:00,IBM,BUY,100
2009-06-23 00:00:00,IBM,SELL,100
2009-06-25 00:00:00,IBM,BUY,100
2009-07-15 00:00:00,IBM,BUY,100
2009-10-14 00:00:00,IBM,SELL,100
2009-10-15 00:00:00,IBM,SELL,100
2009-11-16 00:00:00,IBM,BUY,100
2009-11-17 00:00:00,IBM,SELL,100
2009-12-14 00:00:00,IBM,BUY,100
